is_join_column,selectivity_ratio,table_row_count,scan_type_frequency,label
0,0.33,1000,1,1
0,0.33,1000,1,1
1,1.0,16,1,0
1,1.0,62,0,0
1,1.0,1,0,1
0,0.1,599,1,1
0,0.1,16008,1,0
0,0.33,15813,1,1
1,1.0,599,1,0
1,1.0,26,0,0
0,0.33,1000,1,1
0,1.0,3,0,0
0,1.0,2270,0,0
0,0.1,603,1,1
0,1.0,1,0,0
0,0.5,2,1,0
0,0.2,1000,1,1
0,1.0,273,0,0
0,1.0,8040,0,1
0,1.0,7990,0,0
1,1.0,200,1,0
1,1.0,27,0,0
1,1.0,1,0,0
1,1.0,599,1,0
1,1.0,1,0,0
1,1.0,2,0,0
1,1.0,1,0,0
0,1.0,1000,1,1
0,1.0,599,1,0
0,0.33,1000,1,1
0,1.0,1000,1,0
0,1.0,326,0,0
0,1.0,2,0,0
0,0.1,16,1,1
0,0.17,6,1,1
0,1.0,1,0,0
0,1.0,8,0,1
0,1.0,3,0,1
0,1.0,32,0,1
0,1.0,19,0,0
0,1.0,64,0,0
0,0.1,600,1,1
0,0.1,109,1,0
0,1.0,1,0,0
0,0.1,1000,1,1
0,1.0,20,0,0
0,0.5,16008,1,0
1,1.0,1000,1,0
1,1.0,1,0,0
1,1.0,109,1,0
1,1.0,5,0,0
1,1.0,1000,0,0
1,1.0,4,0,0
1,1.0,599,1,0
1,1.0,26,0,0
1,1.0,4581,0,0
1,1.0,3,0,0
1,1.0,2,0,1
1,1.0,1,0,0
0,1.0,1000,1,0
0,1.0,15813,1,0
0,1.0,599,1,1
0,0.11,1000,1,1
0,0.1,200,1,1
0,0.2,1000,1,1
0,0.33,1000,1,1
0,0.33,1000,1,1
0,0.1,599,1,1
0,0.9,16008,1,1
0,0.33,15813,1,1
0,0.1,200,1,1
0,1.0,2311,0,0
0,0.1,603,1,1
0,1.0,3,0,1
0,0.5,2,1,0
0,0.2,1000,1,1
0,0.2,1000,1,1
0,1.0,326,0,0
0,1.0,8004,0,0
0,1.0,8054,0,0
0,1.0,10,0,0
0,1.0,1,0,0
0,0.1,600,1,1
0,0.1,109,1,1
0,0.1,1000,1,1
0,1.0,55,0,1
0,1.0,3467,0,0
1,0.2,1000,1,0
1,1.0,5,0,1
1,1.0,1,0,1
1,0.33,15813,1,0
1,1.0,1,0,1
1,0.33,1000,1,1
1,1.0,4,0,0
0,1.0,1000,1,0
0,1.0,200,1,0
0,1.0,600,1,0
0,0.11,1000,1,1
0,0.1,1000,1,1
